name,website,cb_description,year_founded,mosaic_change,city,region,country,postal
Engine,https://hotelengine.com,"Engine specializes in corporate lodging solutions within the business travel industry. It offers a platform for booking and managing business lodging, providing access to exclusive hotel rates and a suite of tools to streamline travel management. Hotel Engine primarily serves sectors such as travel management companies, operations management, finance management, and individual business travelers. It was formerly known as Hotel Engine and changed its name to Engine in September 2024. The company was founded in 1994 and is based in Denver, Colorado.",1994,,Denver,Colorado,United States,80246
AOA,https://alphaomega.agency,"AOA is a full-service e-commerce agency specializing in brand growth and engineering within the digital retail sector. The company offers a suite of services including brand design, web and mobile development, and growth strategy to enhance online presence and sales. AOA primarily caters to aggressive-growth startups, Digitally Native Vertical Brands, and large enterprises seeking to optimize their e-commerce platforms. It is based in Minneapolis, Minnesota.",,,Minneapolis,Minnesota,United States,55408
Anvil,https://anvil.works,"Anvil is a web app development platform that enables users to build applications using Python. The platform offers a drag-and-drop interface for UI design and allows for instant deployment of web apps, with no web development experience required. Anvil primarily serves sectors that require rapid development of internal tools, data analysis applications, mobile web apps, e-commerce solutions, and Tableau dashboard extensions. It was founded in 2015 and is based in Cambridge, England.",2015,-127,Cambridge,England,United Kingdom,CB3 0FD
AiDash,https://aidash.com,"AiDash is an artificial intelligence (AI) first vertical software-as-a-service (SaaS) company that offers systems using satellite data and artificial intelligence to help manage vegetation, sustainability, climate risk, and infrastructure integrity. AiDash primarily serves the electric utilities, gas utilities, water and wastewater, energy, mining, and transportation sectors. It was founded in 2019 and is based in San Jose, California.",2019,+75,San Jose,California,United States,95128
Forter,https://forter.com,"Forter focuses on fraud prevention and protection in the digital commerce industry. The company offers services such as fraud management, payment optimization, chargeback recovery, identity protection, and abuse prevention, all aimed at increasing revenue, reducing losses, and enhancing the customer experience. It primarily serves the digital commerce industry. It was founded in 2013 and is based in New York, New York.",2013,-24,New York,New York,United States,10017
OpenNode,https://opennode.co,"OpenNode is a Bitcoin payment processor operating in the financial technology sector. The company provides services for accepting and sending Bitcoin payments, including features such as currency conversion, settlement and transfer, and security and protection. It primarily serves businesses across various sectors, enabling them to integrate Bitcoin transactions into their operations. It was founded in 2018 and is based in Los Angeles, California.",2018,-103,Los Angeles,California,United States,90036
Inito,https://inito.com,"Inito is a company focused on healthcare and wellness, operating in the health tech industry. The company's main product is a fertility monitor that allows users to track their fertility hormones at home, providing a comprehensive picture of their fertility cycles. This product is primarily targeted towards couples trying to conceive. It was founded in 2015 and is based in Bengaluru, India.",2015,+79,,Bengaluru,India,560034
Banza,https://banzait.com,"Banza specializes in digital transformation and business process automation within the banking and retail sectors. The company offers customer relationship management 
(CRM) and business process management (BPM) solutions to streamline sales, marketing, and customer service processes. Banza primarily serves the banking and retail industries with comprehensive solutions for credit management, sales, customer service, and omnichannel customer interactions. It was founded in 2020 and is based in Uzhhorod, Ukraine.",2020,,Uzhhorod,,Ukraine,88017
Rage Coffee,https://ragecoffee.com,"Rage Coffee is a craft coffee brand that specializes in the production and distribution of instant coffee products enhanced with natural brain vitamins and cognitive enhancers. Its offerings include a range of coffee products that are designed for convenience, such as ready-to-mix shots, and are made with plant-based ingredients. It was founded in 2018 and is based in Gurugram, India.",2018,,,Gurugram,India,122051
Ornikar,https://ornikar.com,"Ornikar offers an educational platform for conducting driving tests. The driving lessons are taught by qualified instructors freely chosen by each student based on evaluations of other students. The company was founded in 2014 and is based in Paris, France.",2014,-244,Paris,,France,75019
Snappy,https://gosnappy.io,"Snappy offers a comprehensive platform that allows restaurants to manage and track orders, integrate with delivery apps, manage reservations and waitlists, control their online storefront, and run loyalty programs. The company serves the restaurant industry. The company was founded in 2015 and is based in Markham, Ontario.",2016,+23,Markham,Ontario,Canada,L3R 5J2
Squeeze,https://squeezestudio.com,"Squeeze Animation Studios is an animation company. It provides 3D character animation for feature films, video game cinematics, TV series, and theme parks. It was founded in 2011 and is based in Quebec City, Canada.",2011,,Quebec,Quebec,Canada,G1K 3J3
Functionize,https://functionize.com,"Functionize is a company that focuses on providing an intelligent testing platform in the software industry. The company's main services include offering a cloud-based platform that uses artificial intelligence and machine learning technologies to automate the software testing process, enabling end-to-end tests, visual testing, API testing, and functional testing. The company primarily sells to the software development and quality assurance sectors of the economy. It was founded in 2014 and is based in San Francisco, California.",2014,-33,San Francisco,California,United States,94105
OATSIDE,https://oatside.com,"OATSIDE specializes in the production of oat-based beverages and frozen desserts within the food and beverage industry. The company offers a variety of oat milk flavors and ice cream, catering to those seeking plant-based alternatives to dairy products. OATSIDE's products are designed to appeal to both plant milk enthusiasts and those typically not fond of plant-based milks by focusing on taste and sustainability. It was founded in 2020 and is based in Singapore.",2020,,,,Singapore,159349
Slope Software,https://slopesoftware.com,"Slope Software is a company that focuses on actuarial financial projection modeling in the financial technology sector. The company offers a platform that allows users to develop complex financial models, manage and track input data, and generate instant reports for analysis. The primary customers of Slope Software are in the financial services industry. It was founded in 2015 and is based in Atlanta, Georgia.",2015,-226,Atlanta,Georgia,United States,30341
Ambri,https://ambri.com,"Ambri specializes in energy storage solutions, focusing on the development of long-duration battery technology for the renewable energy sector. The company offers a sustainable energy storage solution that enables increased use of renewable resources and reduces reliance on traditional power plants, with a product that is designed for daily cycling. Ambri was formerly known as Liquid Metal Battery. It was founded in 2010 and is based in Marlborough, Massachusetts.",2010,,Marlborough,Massachusetts,United States,01752
Mecho,https://mechoshade.com,"Mecho specializes in solar shading solutions within the commercial building sector. The company offers a range of products including manual and motorized shades, automated shade systems, and various shadecloths designed for energy efficiency and aesthetic appeal. Mecho primarily serves the architectural and design communities, providing tailored solutions for unique and challenging window configurations. It was founded in 1969 and is based in Long Island City, New York.",1969,-104,Long Island City,New York,United States,11101
Plobal Apps,https://plobalapps.com,"Plobal Apps develops mobile applications for direct-to-customer (D2C) brands. The applications offer omnichannel solutions, artificial intelligence (AI)-based product recommendations, personalized push notifications, and more. It was founded in 2016 and is based in Pune, India.",2016,-65,Pune,,India,411045
Hubilo,https://hubilo.com,"Hubilo focuses on providing webinar solutions and event marketing tools within the technology sector. Its main offerings include a platform for hosting webinars that facilitates audience engagement, content repurposing, and marketing attribution analytics to prove the impact of events. Hubilo primarily serves demand generation marketers, content marketers, event marketers, field marketers, marketing operations professionals, and chief marketing officers. It was founded in 2015 and is based in San Francisco, California.",2015,+55,San Francisco,California,United States,94111
FirstVet,https://firstvet.com,"FirstVet is a digital veterinary clinic operating in the pet care industry. The company offers on-demand access to advice from licensed veterinarians through video meetings, providing a convenient and accessible way for pet owners to receive professional guidance. It serves the pet care sector. It was founded in 2016 and is based in Stockholm, Sweden.",2016,+109,Stockholm,,Sweden,114 56
Menlo Microsystems,https://menlomicro.com,"Menlo Microsystems is a company focused on the design and fabrication of high-power RF MEMs switches, operating in the electronics industry. The company's main offerings include electronic switches that are smaller, faster, and more powerful, combining the benefits of electromechanical and solid-state switches. These products primarily cater to industries such as medical, aerospace and defense, telecommunications, consumer electronics, industrial IoT, and test and measurement. It was founded in 2016 and is based in Irvine, California.",2016,-52,Irvine,California,United States,92618
LaunchNotes,https://launchnotes.com,"LaunchNotes is a company focused on product communication for modern enterprises within the software industry. The company offers a platform that facilitates the coordination of product roadmaps, communication of product updates, and collection of customer feedback to enhance alignment with go-to-market teams. LaunchNotes primarily serves sectors such as product management, product operations, product marketing, and customer success. It was founded in 2019 and is based in San Francisco, California.",2019,-66,San Francisco,California,United States,94112
ClearFlame,https://clearflame.com,"ClearFlame focuses on reducing emissions in the engine sector by retrofitting diesel engines to run on cleaner fuels. Its main service involves transforming existing diesel engines to operate on renewable, plant-based fuels, such as ethanol, which significantly reduces carbon dioxide emissions and soot. This technology allows for an approach to power generation, agriculture, and other industries reliant on heavy-duty engines without the need for new infrastructure or a green premium. It was founded in 2016 and is based in Geneva, Illinois.",2016,,Geneva,Illinois,United States,60134
Evident,https://evident.global,"Evident focuses on certifying renewable energy and clean assets, operating within the clean economy sector. The company offers services such as certification of activities like renewable electricity production and low-methane natural gas and provides registries that ensure every transaction and consumer claim is traceable to the activity associated with a certificate's creation. Evident primarily serves the renewable energy industry. It was founded in 2014 and is based in Sheffield, United Kingdom.",2014,-291,Sheffield,England,United Kingdom,S10 1LP
Two Boxes,https://twoboxes.com,"Two Boxes specializes in returns processing solutions for the e-commerce industry. The company offers software and services that streamline the returns process, provide analytics on return performance, and integrate with third-party logistics providers to manage and inventory restocking. Two Boxes primarily serves the e-commerce and logistics sectors, offering tools to digitize standard operating procedures, train warehouse staff, and capture critical data. It was founded in 2022 and is based in Denver, Colorado.",2022,+134,Denver,Colorado,United States,80207
Outpace Bio,https://outpacebio.com,"Outpace Bio focuses on revolutionizing cell therapy for cancer treatment through protein design and cellular engineering. The company develops technologies that program cells to make the right decisions inside patients, aiming to improve the efficacy and safety of cell therapies for solid tumors. Outpace Bio's suite of technologies includes optimizing CAR T cell function, designing cytokines to stimulate immune responses, enhancing cell therapy persistence, and incorporating safety features and specificity in targeting cancer cells. It was founded in 2020 and is based in Seattle, Washington.",2020,+116,Seattle,Washington,United States,98109
Relivion,https://relivion.com,"Relivion develops digital therapeutics neuromodulation technology, operating within the healthcare and technology sectors. The company's main offerings include electronic head-mounted devices designed to target neural pathways in the head, providing an alternative or complementary treatment to pharmaceutical therapies for neurological and neuropsychiatric disorders such as migraine and depression. Relivion was formerly known as Neurolief. It was founded in 2014 and is based in Netanya, Israel.",2014,-162,Netanya,,Israel,4250412
Wealthsimple,https://wealthsimple.com,"Wealthsimple operates in the investment management industry. The company offers a range of services including managed investing, investing, and high-interest savings accounts. These services are designed to help individuals build long-term wealth by maximizing returns and minimizing risk. Wealthsimple was formerly known as Canadian Shareowner Investments. It was founded in 2014 and is based in Toronto, Canada.",2014,,Toronto,Ontario,Canada,M5V 2J4
Cabana,https://cabanaapp.com,"Cabana, developed by Department of Behavior & Logic, is a tool that allows users to quickly build an iPhone app. With Cabana's visual interface, designers can assemble a full-featured HTML5 web application for the iPhone.

In October 2012, Twitter acquired the team behind Cabana. The company will shut down effective December 2012.",,,San Francisco,California,United States,94127
Knot,https://knotcity.com,"Knot specializes in providing infrastructure for micromobility services, focusing on the design, production, and installation of docking stations. The company offers a range of products including charging stations, scooters, bikes, and a software suite comprising an app and dashboard for the operation of bike and scooter services. Knot primarily serves the micromobility sector, offering solutions to cities, companies, and operators looking to implement sustainable and efficient transportation systems. It was founded in 2016 and is based in Strasbourg, France.",2016,+154,Strasbourg,,France,67000
SLUSHY,https://slushy.com,"SLUSHY is a tech-driven platform focused on providing content creators with tools to find, grow, and monetize their audiences within the digital content industry. The company offers a secure mobile web-based solution with features for discoverability, audience insights, and a legal framework for content moderation and compliance. SLUSHY serves professional content creators looking for alternatives to platforms like OnlyFans and Patreon, monetization, support, and management. It was founded in 2020 and is based in Miami, Florida.",2020,,Miami,Florida,United States,33137
Lumen Bioscience,https://lumen.bio,"Lumen Bioscience focuses on the development of biologic drugs within the pharmaceutical industry. The company's patented technology enables the rapid development of these drugs. Lumen Bioscience primarily serves sectors that have been neglected by traditional drug-making tools, such as infectious diseases, gastrointestinal disorders, and metabolic diseases. It was founded in 2017 and is based in Seattle, Washington.",2017,,Seattle,Washington,United States,98103
Radar,https://radar.co.za,"Radar develops an HR and Payroll solution for small businesses. It is based in South Africa.

On May 9th, 2022, Radar was acquired by SnapScan. Terms of the transaction were not disclosed.",,,,,South Africa,
Fresco,https://oliofresco.it,"Fresco provides a counter-top appliance, EVA, to produce fresh olive oil using REVOILUTION frozen olives pulps, Le Polpe.",2014,-41,Lamezia Terme,,Italy,
intelis,https://intelis.ai,"Intelis is an AI-powered pricing optimization software company focused on the eCommerce sector. The company offers a platform that provides real-time pricing adjustments and market insights to help online stores maximize profitability and maintain a competitive edge. Intelis primarily serves retailers, brands, and distributors looking to enhance their pricing strategies and market positioning. It was founded in 2020 and is based in Tel Aviv, Israel.",2020,+17,Tel Aviv,,Israel,
Growbots,https://growbots.com,"Growbots is an outbound sales software company that focuses on automating lead generation and sales prospecting processes for small and medium businesses. The company offers a platform that enables users to find leads, automate cold email outreach, and improve email deliverability, as well as integrate with other tools for a workflow. Growbots primarily serves sectors such as sales teams, marketing teams, and HR teams within various industries. It was founded in 2014 and is based in Warsaw, Poland.",2014,,Warsaw,,Poland,00-681
BryteFlow,https://bryteflow.com,"BryteFlow specializes in data integration and enterprise data liberation, operating within the cloud computing and data analytics sectors. The company offers solutions for data replication, change data capture, and automated data reconciliation, enabling businesses to manage and analyze large volumes of data. BryteFlow's products are designed to support the creation and maintenance of cloud data lakes and analytics environments without the need for coding. It was founded in 2014 and is based in Chatswood, Australia. In October 2024, BryteFlow was acquired by SingleStore.",2014,,Chatswood,New South Wales,Australia,2067
GoSite,https://gosite.com,"GoSite provides software solutions for small businesses in the service sector. The company offers a suite of mobile and web tools for businesses to manage customer interactions, bookings, payments, and invoices, as well as to build an online presence and manage online listings. It primarily serves the home and professional services industries, including, electricians, plumbers, and landscapers. The company was founded in 2013 and is based in San Diego, California.",2013,-72,San Diego,California,United States,92108
EdfaPay,https://edfapay.com,"EdfaPay is a financial technology company specializing in payment processing solutions for online and offline merchants. The company offers a range of services including a software-based point-of-sale system, an online payment gateway, and electronic invoicing capabilities. These services are designed to facilitate efficient and secure financial transactions for businesses of various sizes. It was founded in 2021 and is based in Riyadh, Saudi Arabia.",2021,+64,Riyadh,,Saudi Arabia,12487
Jago,https://jagocoffee.com,"Jago operates in the beverage industry, offering brewed coffee and tea through electric coffee carts. The company's main offerings include a variety of coffee and tea beverages made from directly traded Arabica beans and crafted with roasting recipes. Jago caters to individual customers and events, with an emphasis on quality and accessibility through an app-based ordering system. It was founded in 2020 and is based in Jakarta, Indonesia.",2020,+184,Jakarta,,Indonesia,12940
Clustermarket,https://clustermarket.com,"Clustermarket is a company that focuses on laboratory management in the research and development sector. It offers an easy-to-use software solution that helps laboratories optimize their operations by coordinating equipment usage, planning maintenance activities, and generating reports and forecasts for resource planning. The company primarily serves the research and development industry. It was founded in 2016 and is based in London, England.",2016,-211,London,England,United Kingdom,HA7 1JS
Casavo,https://casavo.com,"Casavo is a company that focuses on providing smart solutions for selling and buying homes in the real estate sector. The company offers services such as instant home valuation based on market data, a digital platform for managing real estate transactions, and additional services like professional photography and virtual tours to enhance property listings. Casavo primarily serves individuals looking to sell or buy homes, leveraging technology to streamline the real estate process. It was founded in 2017 and is based in Milan, Italy.",2017,-10,Milan,,Italy,20143
Silc Technologies,https://,Developer of circuit design software incorporating logic synthesis for ultra large-scale integrated circuits; behavioral level inputs.,1986,,Burlington,Massachusetts,United States,01803
MPOWER Financing,https://mpowerfinancing.com,"MPOWER Financing specializes in educational financial services, focusing on providing international student loans and scholarships. The company offers fixed-rate loans for international and DACA students without requiring a cosigner or collateral, along with scholarship opportunities and career support services. MPOWER Financing primarily serves students attending eligible U.S. or Canadian colleges and universities. It was founded in 2014 and is based in Washington, DC.",2014,,Washington,DC,United States,20036
Sonect,https://sonect.net,"Sonect is a financial technology company specializing in cash distribution and management solutions. The company offers a platform that transforms local shops into virtual ATMs, allowing users to withdraw cash using their smartphones. Sonect primarily serves the financial sector and retail businesses by optimizing ATM operations and facilitating in-store cash management. It was founded in 2016 and is based in Zurich, Switzerland.",2016,-124,Zurich,,Switzerland,8008
Odyssey Interactive,https://odysseyinteractive.gg,"Odyssey Interactive is a game development studio focused on creating competitive, free-to-play titles within the gaming industry. Their main offerings include cross-platform games that are designed to be replayable, support player growth, and foster a sense of community, all set in anime-inspired intellectual properties. The studio targets the gaming community, aiming to build games that provide a sense of purpose and facilitate connections among players. It was founded in 2020 and is based in Waterloo, Ontario.",2020,-95,Waterloo,Ontario,Canada,
Matsmart-Motatos,https://matsmart.se,"Matsmart-Motatos is an e-commerce company focused on sustainable shopping and reducing food waste in the grocery sector. The company offers a wide range of discounted groceries, household items, and personal care products. Matsmart-Motatos primarily serves the online retail market, offering bulk purchasing options and a variety of products to cater to different customer needs. It was founded in 2013 and is based in Stockholm, Sweden.",2013,+2,Stockholm,,Sweden,116 25
Paubox,https://paubox.com,"Paubox is a company that specializes in the healthcare technology sector, with a focus on email security. The company offers HIPAA compliant email services, ensuring secure and easy communication for healthcare providers. The primary customers of Paubox are organizations within the healthcare industry. It was founded in 2015 and is based in San Francisco, California.",2015,+158,San Francisco,California,United States,94103
LawHive,https://lawhive.co.uk,"LawHive connects clients with licensed solicitors in the UK. The company offers a range of legal services including employment, family law, litigation, property, and more, all facilitated through an online process. LawHive primarily serves individuals and small businesses seeking legal assistance. It was founded in 2021 and is based in London, United Kingdom.",2021,+121,London,England,United Kingdom,EC2A 4NE
CloudEats,https://cloudeats.com,"CloudEats is a pioneer in the cloud restaurant industry, focusing on creating next-generation digital food brands. The company offers a variety of online-optimized food brands, utilizing proprietary technology to manage multi-cuisine, multi-brand, multi-platform operations and ensuring high-quality food delivery. Primarily, CloudEats serves the food delivery industry. It was founded in 2019 and is based in Makati City, Philippines.",2019,-83,,Makati City,Philippines,1125
Campus,https://buildcampus.com,Campus is building a network of community houses.,2013,,San Francisco,California,United States,
Bridgit,https://gobridgit.com,"Bridgit is a company that specializes in workforce planning solutions within the construction industry. Its main offerings include software that provides real-time updates, visibility into projects and labor forecasting, and tools for collaborative workforce management. It was founded in 2014 and is based in Kitchener, Ontario.",2014,-90,Kitchener,Ontario,Canada,N2H 3X6
Enigma,https://enigma.com,"Enigma specializes in data infrastructure and analytics for the B2B sector, focusing on risk management and business decision automation. The company offers a suite of data-driven services that facilitate sales and marketing campaigns, business onboarding, risk underwriting, and compliance screening. Enigma's solutions primarily cater to financial services, merchant services, and SaaS companies seeking to refine their customer profiles and manage business risks. It was founded in 2011 and is based in New York, New York.",2011,-75,New York,New York,United States,10016
Shopic,https://shopic.co,"Shopic specializes in intelligent retail solutions. The company offers a unique clip-on device that uses computer vision to transform regular shopping carts into smart carts, providing a personalized shopping experience with on-cart checkout. It also provides an in-store retail media channel and real-time analysis of shopper carts and store shelves for actionable insights. It was founded in 2015 and is based in Tel Aviv-Yafo, Israel.",2015,-180,,Tel Aviv-Yafo,Israel,6492108
Nexar,https://getnexar.com,"Nexar develops smart artificial intelligence (AI) dashboard cameras. Its main offerings include (AI) enabled dashboard cameras and a companion application, which records drives, backs up important videos to the cloud, and provides immediate evidence to the user's phone. It primarily sells to the public sector, the insurance industry, and other enterprises. It was founded in 2015 and is based in Tel Aviv-Yafo, Israel.",2015,-41,,Tel Aviv-Yafo,Israel,67770
The Wing,https://the-wing.com,"The Wing ceased operation on August 31, 2022. The Wing is a social, co-working, and networking club. It offers workspaces designed for productivity, creativity, and inspiration. It was founded in 2016 and is based in New York, New York.",2016,,New York,New York,United States,10003
Sonder,https://trysonder.com,"Sonder is a company specializing in collaborative marketing analytics within the data analytics and marketing sectors. The company offers a platform that interprets data and assists users in finding answers without the need for coding or SQL knowledge, aimed at simplifying data analysis for marketers. Sonder's services are primarily utilized by marketing professionals seeking to analyze and visualize data without technical barriers. It is based in United States.",,,,,United States,
Harness,https://harness.io,"Harness focuses on the software delivery market. The company offers an intelligent software delivery platform that enables engineers to deliver software more efficiently and with higher quality. This platform includes services such as continuous integration, continuous delivery, feature flags, cloud cost management, service reliability management, security testing orchestration, and chaos engineering. The company primarily sells to sectors that are accelerating their cloud initiatives and adopting containers and orchestration tools. It was founded in 2017 and is based in San Francisco, California.",2017,-27,San Francisco,California,United States,94108
Aspen RxHealth,https://aspenrxhealth.com,"Aspen RxHealth focuses on providing clinical pharmacy services within the healthcare sector. The company offers solutions to enhance medication adherence, manage therapy, educate members, and handle specialty medication and care transitions. Aspen RxHealth primarily serves health plans, life sciences companies, provider groups, and strategic partners. It was founded in 2018 and is based in Tampa, Florida.",2018,-254,Tampa,Florida,United States,33602
SynFutures,https://synfutures.com,"SynFutures operates a Web3 company focused on decentralized derivatives infrastructure. It provides an open and trustless derivatives market, enabling users to trade any assets and list futures contracts freely. This service is primarily targeted towards the decentralized finance (DeFi) industry. The company was founded in 2020 and is based in Singapore.",2020,+119,Singapore,,Singapore,
GoStudent,https://gostudent.org,"GoStudent provides online tutoring services in the education sector. The company offers personalized, one-on-one tutoring across subjects and educational levels, aiming to improve academic performance. GoStudent serves a diverse clientele, focusing on students and families seeking educational support. It was founded in 2016 and is based in Vienna, Austria.",2016,-31,Vienna,,Austria,1020
Paleo,https://paleo-taste.com,"Paleo specializes in the development of animal-free proteins for the food industry, focusing on creating ingredients for plant-based meat and fish alternatives. The company's main offerings include the production of heme proteins through precision fermentation, which are designed to enhance the taste, aroma, and nutritional value of plant-based foods without the use of genetically modified organisms. Paleo's products are primarily aimed at plant-based food manufacturers seeking to improve the quality and appeal of their meat and fish alternatives. It was founded in 2020 and is based in Leuven, Belgium.",2020,-116,Leuven,,Belgium,
The Sill,https://thesill.com,"The Sill is a company focused on the retail industry, specifically in the domain of indoor plants and related accessories. The company offers a wide range of indoor plants, planters, and plant care accessories, as well as providing plant care advice and resources. The Sill primarily serves the home decor and indoor gardening sectors. It was founded in 2012 and is based in New York, New York.",2012,+227,New York,New York,United States,10002
Fudo,https://fudoapp.com,"Fudo is a mobile app that offers last-minute table reservations at restaurants. It is based in Paris, France.",,,Paris,,France,
Architect,https://wearearchitect.com,"We design & develop a range of products - from interactive webpage storytelling for Ciscos core CES keynote to building a real-time education platform in partnership with UC Berkeley. 

Whilst were part of a bigger network (we have a London mothership that was acquired by Interpublic Group 2 years ago), we operate as if an independent start-up team.",2004,,,,,
PayMongo,https://paymongo.com,"PayMongo is a financial technology company specializing in online payment processing for businesses. The company provides a suite of tools that enable merchants to accept various payment methods including e-wallets, credit cards, and buy now, pay later options, through customizable checkout experiences and integration APIs. PayMongo primarily serves businesses looking to streamline their payment systems and enhance their e-commerce capabilities. It was founded in 2019 and is based in Taguig City, Philippines.",2019,-60,,Taguig City,Philippines,1634
Elodie Games,https://elodie.games,"Elodie Games operates as a game development studio focused on the creation of crossplay games in the entertainment industry. The company's main offerings are engaging games that can be played on any platform without compromising the gaming experience. The primary customer base of Elodie Games is the global gaming community. It was founded in 2019 and is based in Venice, California.",2019,+35,Venice,California,United States,90291
Locale,https://staywithlocale.com,"Locale operates as a residential hospitality company. The company offers modern furnished apartments with amenities such as full kitchens, in-unit laundry, and access to property features like pools and fitness centers. These apartments are primarily marketed to travelers and renters seeking flexible, all-inclusive accommodation options. It was founded in 2016 and is based in Austin, Texas.",2016,,Austin,Texas,United States,78702
Workweek,https://workweek.com,"Workweek is a media company that provides service by creating and distributing content in multiple forms such as tweets, newsletters, and memes, designed to influence business decisions and provide insights. It was founded in 2021 and is based in Austin, Texas.",2021,,Austin,Texas,United States,78722
Bit,https://bit.dev,"Bit is a company focused on the development of composable software within the software development industry. Its main offerings include a platform for building, reusing, and managing software components in a modular fashion. Bit primarily serves sectors that require rapid software development and collaboration, such as the ecommerce industry and cloud computing industry. Bit was formerly known as Cocycles. It was founded in 2015 and is based in Tel Aviv, Israel.",2015,-240,Tel Aviv,,Israel,
Upflow,https://upflow.nz,"Upflow specializes in geothermal intelligence and operates within the renewable energy sector, focusing on the application of science and technology to develop sustainable solutions. The company offers services that translate geothermal science into practical applications for businesses, including project management, research and development, and expert guidance in geothermal energy utilization. Upflow primarily serves clients in the renewable energy sector, offering solutions that align with sustainable development goals and cater to the unique needs of businesses in this industry. It is based in Taupo, New Zealand.",,,Taupo,,New Zealand,3010
Hyalex Orthopaedics,https://hyalex.com,"Hyalex Orthopaedics is a medical device company focused on developing synthetic cartilage technology for joint surface restoration. The company's main offering is the HYALEX Knee System, a biomimetic material designed to replicate the structure and function of native cartilage and address cartilage damage during surgery. Its products target medical professionals in the orthopaedic sector. It was formerly known as Hyale Surgical. The company was founded in 2016 and is based in Lexington, Massachusetts.",2016,,Lexington,Massachusetts,United States,02421
Shieldpay,https://shieldpay.com,"Shieldpay is a technology-led payments partner that specializes in the legal services sector, offering a digital platform for complex transaction management. The company provides a suite of services including compliance and due diligence, funds safeguarding, and efficient payment disbursement, designed to streamline the payment process for legal transactions. Shieldpay primarily serves the legal industry, catering to needs such as mergers and acquisitions, litigation, and real estate transactions. It was founded in 2016 and is based in London, England. Shieldpay operates as a subsidiary of SPG.",2016,,London,England,United Kingdom,EC4A 2AB
Edurino,https://edurino.com,"Edurino focuses on combining analog and digital learning for children, operating in the educational technology sector. It offers a play learning system that includes a variety of modules for exploring fundamental and future competencies through interactive, game-based experiences. It was founded in 2021 and is based in Munich, Germany.",2021,-60,Munich,,Germany,81667
Artificial Labs,https://artificial.io,"Artificial Labs is a provider of algorithmic technology solutions for the commercial and specialty insurance sectors. The company offers an algorithmic underwriting platform that facilitates data ingestion and risk triaging, and integrates with existing systems through APIs to support the underwriting process. They also provide a Contract Builder tool that assists in the creation of compliant contracts. It was founded in 2013 and is based in London, England.",2013,+9,London,England,United Kingdom,EC4M 9AL
Mejuri,https://mejuri.com,"Mejuri specializes in handcrafted fine jewelry with a focus on everyday wear in the luxury goods sector. The company offers a range of products including customizable charms, necklaces, earrings, rings, and bracelets, catering to both men and women who seek personalized accessories. Mejuri also provides piercing services and styling appointments for customers looking to enhance their personal style. It was founded in 2013 and is based in Toronto, Ontario.",2013,-41,Toronto,Ontario,Canada,M6K 3E8
LynxCare,https://lynx.care,"LynxCare is a company focused on healthcare data, operating in the healthcare and technology sectors. The company uses artificial intelligence and natural language processing to unlock and structure unused hospital and patient data, creating data warehouses that can be used for research and evidence generation. LynxCare primarily serves healthcare organizations and life science companies. It was founded in 2015 and is based in San Francisco, California.",2015,-124,San Francisco,California,United States,94111
Taimi,https://taimi.love,"Taimi specializes in functional supplements within the health and wellness industry. The company offers a range of products designed to support the immune system, enhance cognitive function, and improve sleep quality, all formulated without artificial additives. These supplements are microencapsulated powders that can be easily incorporated into food or drinks, suitable for the entire family. It was founded in 2020 and is based in Helsinki, Finland.",2020,,Helsinki,,Finland,00290
Qolo,https://qolo.io,"Qolo is a company that focuses on B2B payments in the financial transactions industry. The company offers a range of services including card issuing, payment processing, and treasury management through a single API platform. This allows businesses to manage payments efficiently, with a particular emphasis on speed, security, and cost-effectiveness. It was founded in 2018 and is based in Fort Lauderdale, Florida.",2018,-23,Fort Lauderdale,Florida,United States,33309
byrd,https://getbyrd.com,"byrd is an independent e-commerce fulfillment platform that operates in the logistics and supply chain sector. The company offers a range of services including warehousing, picking and packing, delivery, and returns management, all designed to streamline the fulfillment process for online retailers. byrd's software provides seamless shop integrations, real-time tracking, and analytics to optimize the supply chain and facilitate cross-border fulfillment. It was founded in 2016 and is based in Vienna, Austria.",2016,-13,Vienna,,Austria,1040
Greenlite,https://,"Greenlite operates as a cannabis dispensary and dispensary assets company. It is based in Denver, Colorado. On June 7, 2018 Greenlite was acquired by Enlighten. The terms of the transaction were not disclosed.",,,Denver,Colorado,United States,
ContraForce,https://contraforce.com,"ContraForce specializes in security operations management for the cybersecurity industry. The company offers a platform that enables managed service providers (MSPs) and managed security service providers (MSSPs) to automate security incident responses, orchestrate workflows, and manage security services efficiently. ContraForce's solutions are designed to enhance productivity for security analysts and accelerate incident response for their customers. It was founded in 2020 and is based in McKinney, Texas.",2020,+57,McKinney,Texas,United States,75070
Highbeam,https://highbeam.co,"Highbeam is a financial technology company operating in the banking sector, with a focus on supporting brand owners in making informed decisions. The company offers banking services that include real-time cash flow insights, transparent credit options, and high-yield deposit accounts, all designed to automate and optimize financial operations. Highbeam primarily caters to the ecommerce industry. It was founded in 2021 and is based in New York, New York.",2021,-103,New York,New York,United States,10014
Coadjute,https://coadjute.com,"Coadjute develops a network to decentralize workflow and data sharing within the property industry. The network optimises and tracks construction projects from inception to occupation through open data, shared ledgers, orchestrated workflow, contract automation, and analytics. The company was founded in 2018 and is based in London, United Kingdom.",2018,+31,London,England,United Kingdom,EC4M 9BJ
